text,indices
złoŜonej rezygnacji było objęcie stanowiska Prezesa Zarządu w spółce zaleŜnej od PBG SA – w,"{'entities': [(81, 87, 'company')]}"
"to 1,125 mln EUR. Zawarta transakcja uznana została za istotną, gdyŜ stworzyła spółce PBG SA","{'entities': [(86, 92, 'company')]}"
"wartość została określona na 1,85 mln USD dotyczy wykonania przez PBG SA prac projektowych","{'entities': [(66, 72, 'company')]}"
stworzyła Spółce PBG SA perspektywy na pozyskanie kolejnych kontraktów eksportowych.,"{'entities': [(17, 23, 'company')]}"
kontraktu spółka PBG występuje jako Lider Konsorcjum: PBG SA - Chart Inc. Process Systems,"{'entities': [(54, 60, 'company')]}"
Zawarcie umowy przez konsorcjum firm: Hydrobudowa Polska SA - Lider Konsorcjum HYDROBUDOWA 9 P.I-B. SA - Partner Konsorcjum - PBG SA - Partner Konsorcjum z Bytomskim,"{'entities': [(126, 132, 'company')]}"
Hydrobudowa Polska SA - Partner Konsorcjum oraz PBG SA. - Partner Konsorcjum z Karkonoskim,"{'entities': [(48, 54, 'company')]}"
"Zawarcie umowy przez konsorcjum firm: KWG SA – Lider Konsorcjum, Hydrobudowa Polska SA Partner Konsorcjum, Hydrobudowa 9 P.I-B. SA - Partner Konsorcjum oraz PBG SA - Partner","{'entities': [(157, 163, 'company')]}"
Hydrobudowa Polska SA oraz PBG SA jako partnerzy konsorcjum ze spółką Miejskie Wodociągi i,"{'entities': [(27, 33, 'company')]}"
3) Partnerzy PBG SA wyraŜą zgodę na występowanie PIECOBIOGAZ jako podwykonawcy;,"{'entities': [(13, 19, 'company')]}"
5) Jeśli PBG SA uzyska ewentualnie wymagane przez wewnętrzne regulacje zgody.,"{'entities': [(9, 15, 'company')]}"
Przedmiotem umowy jest przyjęcie przez „Nairit Plant” CJSC jako Podwykonawcy od PBG SA jako,"{'entities': [(80, 86, 'company')]}"
"Modernizacja Zakładu Nairit CJSC”, zleconą do PBG SA na mocy Umowy Głównej. Zadania","{'entities': [(46, 52, 'company')]}"
"Środki na załoŜenie Spółki wpłacone przez PBG SA, pochodzą z środków pozyskanych z emisji.","{'entities': [(42, 48, 'company')]}"
hydrotechnicznego. PBG SA nie planuje zmiany profilu działalności Spółki Wiertmar Sp. z o.o.,"{'entities': [(19, 25, 'company')]}"
"kapitału zakładowego spółki Hydrobudowa Polska SA o emisję akcji serii K, udział spółki PBG SA w","{'entities': [(88, 94, 'company')]}"
"udziałów w firmie PBG Dom Sp. z o.o., spółka PBG SA posiada udziały stanowiące 100% kapitału","{'entities': [(45, 51, 'company')]}"
W dniu 27 czerwca 2008 roku PBG SA zawarło umowę sprzedaŜy udziałów w spółce Apartamenty,"{'entities': [(28, 34, 'company')]}"
"Sprzedane udziały zostały przez PBG SA w pełni opłacone, nie są obciąŜone Ŝadnymi prawami na","{'entities': [(32, 38, 'company')]}"
dniem 1 lipca 2008 konsolidować wynik. PBG SA jest właścicielem 100% kapitału zakładowego,"{'entities': [(39, 45, 'company')]}"
"o.o. Po podwyŜszeniu kapitału zakładowego z 123 572 udziałów, PBG SA wykonywać moŜe 123","{'entities': [(62, 68, 'company')]}"
nabycie udziałów w Spółce J.A.Sokół - MELAFIR Sp. z o.o. z siedzibą w Tłumaczowie. PBG SA oraz,"{'entities': [(83, 89, 'company')]}"
udziały objęła spółka PBG SA);,"{'entities': [(22, 28, 'company')]}"
W roku 2008 kontynuowano strategię finansową wprowadzoną w Grupie Kapitałowej PBG SA w,"{'entities': [(78, 84, 'company')]}"
przeprowadzenie przez ING Bank Śląski SA trzyletniego programu emisji obligacji dla Spółki PBG SA,"{'entities': [(91, 97, 'company')]}"
Posiadane przez podmiot dominujący Grupy Kapitałowej PBG SA środki pienięŜne pochodzące z,"{'entities': [(53, 59, 'company')]}"
przy ulicy Czerwieńskiego 3B (kod pocztowy: 31-319 Kraków). Spółka wpisana jest do Rejestru,"{'entities': [(11, 28, 'street_full'), (44, 57, 'city_postal')]}"
"1/ Hipoteka zwykła w wysokości 5.128.053,00 (Czerwieńskiego 3B)","{'entities': [(45, 62, 'street_full')]}"
"41-800 Zabrze, ul. Wolności 191","{'entities': [(19, 31, 'street_full'), (0, 13, 'city_postal')]}"
"Katowice, ul. Mickiewicza 15","{'entities': [(10, 28, 'street_full')]}"
"13/08/08 z dnia 04.06.2008r. zawartej z MW RAFIN Marian Wcisło Biuro Usług Rachunkowo ci i Finansów Spółka Jawna 41-200 Sosnowiec, Al. Zwyci stwa 3 – podmiotem uprawnionym nr 3076.","{'entities': [(113, 129, 'city_postal')]}"
"adres : 40-951 Katowice, ul. Mickiewicza 15","{'entities': [(25, 43, 'street_full'), (8, 23, 'city_postal')]}"
"97-300 Piotrków Trybunalski, ul. Przemysłowa 25A","{'entities': [(33, 46, 'street_full'), (0, 27, 'city_postal')]}"
"O.ś ZELMAK Sp. z o.o. – ul. Leśna 19, 85-676 Bydgoszcz , Udziałowiec – Rafał Maria Jerzy","{'entities': [(38, 54, 'city_postal')]}"
"Adres: 11-040 Dobre Miasto, ul. Fabryczna 21","{'entities': [(32, 44, 'street_full'), (7, 26, 'city_postal')]}"
"upadłości z siedzibą w Dobrym Mieście, ul. Fabryczna 21, która to prowadziła działalność w","{'entities': [(43, 55, 'street_full')]}"
"wchodzące w skład Zarządu TORFARM SA, którym przyznano łącznie 22517 warrantów serii A.","{'entities': [(26, 36, 'company')]}"
przez głównego akcjonariusza i zarazem Prezesa Zarządu TORFARM SA; transakcje dotyczyły,"{'entities': [(55, 65, 'company')]}"
"66-200 Świebodzin, ul. Sobieskiego 8","{'entities': [(23, 36, 'street_full'), (0, 17, 'city_postal')]}"
"66-200 Świebodzin, ul. Świerczewskiego 76","{'entities': [(0, 17, 'city_postal')]}"
"nieruchomość inwestycyjną połoŜoną przy ul. Sobieskiego 8 w Świebodzinie, na którą składa się hala","{'entities': [(44, 57, 'street_full')]}"
"Al. Roździeńskiego 188 d, 40-203 Katowice, Polska","{'entities': [(26, 41, 'city_postal')]}"
"Dnia 16.02.2007r. dokonano sprzedaŜy nieruchomości zlokalizowanej w Katowicach, przy Al. Roździeńskiego 188d.","{'entities': [(85, 108, 'street_full')]}"
"nieruchomości zlokalizowanej w Katowicach Al. Roździeńskiego 188d, na mocy której Stanisław Więcek nabył prawo","{'entities': [(42, 65, 'street_full')]}"
"Jednostką dominującą Grupy Ciech jest CIECH Spółka Akcyjna, z siedzibą w Warszawie, ul. Puławska 182. Od","{'entities': [(88, 100, 'street_full')]}"
– przelew wierzytelności od CIECH SA z tyt. Umowy,"{'entities': [(28, 36, 'company')]}"
KREDYT BANK SA,"{'entities': [(0, 14, 'company')]}"
Gwarantowanych tj. od dnia zakupu do daty złożenia przez CIECH SA Ostatecznego Sprawozdania,"{'entities': [(57, 65, 'company')]}"
"ul. Marcinkowskiego 154, 88-100 Inowrocław","{'entities': [(4, 23, 'street_full'), (25, 42, 'city_postal')]}"
"Adres: Al. Jerozolimskie 146 C, 02-305 Warszawa","{'entities': [(32, 47, 'city_postal')]}"
"ul. Pass 20C, 05-870 Błonie","{'entities': [(14, 27, 'city_postal')]}"
ul .Wiśniowa 11 ul .Wiśniowa 11 ul .Wiśniowa 11,"{'entities': [(4, 15, 'street_full'), (20, 31, 'street_full'), (36, 47, 'street_full')]}"
62-052 Komorniki 62-052 Komorniki 62-052 Komorniki,"{'entities': [(0, 16, 'city_postal'), (17, 33, 'city_postal'), (34, 50, 'city_postal')]}"
"Ul. Żabia 42, 42-400 Zawiercie","{'entities': [(4, 12, 'street_full'), (14, 30, 'city_postal')]}"
kwoty 100 tys. zł. na nieruchomościach położonych w Zawierciu ul. Żabia 42 - KW 30428 oraz KW,"{'entities': [(66, 74, 'street_full')]}"
nieruchomościach położonych w Zawierciu ul. Żabia 42 - KW 30428 oraz KW 34102 prowadzone,"{'entities': [(44, 52, 'street_full')]}"
położonych w Zawierciu ul. Żabia 42 - KW 30428 oraz KW 34102 prowadzone przez Sąd Rejonowy,"{'entities': [(27, 35, 'street_full')]}"
ul. Kruczkowskiego 39 są Spółką akcyjną prawa handlowego. Spółka posiada 2 oddziały,"{'entities': [(0, 21, 'street_full')]}"
"-Jesienna 3,KW 34403/05","{'entities': [(1, 11, 'street_full')]}"
"PLN -Jesienna 3, KW 34403/5,","{'entities': [(5, 15, 'street_full')]}"
SKONSOLIDOWANY RACHUNEK ZYSKÓW I STRAT GK NG2 S.A. ................................................ 20,"{'entities': [(42, 50, 'company')]}"
SKONSOLIDOWANE ZESTAWIENIE ZMIAN W KAPITALE WŁASNYM GK NG2 S.A. (W TYS. PLN) ..... 21,"{'entities': [(55, 63, 'company')]}"
W dniu 31 stycznia 2007 zmieniona została nazwa spółki z CCC S.A. na NG2 S.A.,"{'entities': [(69, 77, 'company'), (57, 65, 'company')]}"
ponad 60% wartości sprzedaŜy obuwia w I półroczu 2008 roku. W okresie sprawozdawczym NG2 S.A.,"{'entities': [(85, 93, 'company')]}"
Wzrost liczby placówek własnych jest obecnie głównym elementem strategii GK NG2 S.A. Najszybciej,"{'entities': [(76, 84, 'company')]}"
najwyŜszej sprzedaŜy. Czynnikiem pozwalającym na obniŜenie wraŜliwości GK NG2 S.A. na,"{'entities': [(74, 82, 'company')]}"
Pomimo wzrostu finansowania działalności kapitałem obcym GK NG2 S.A prezentuje stabilną,"{'entities': [(60, 68, 'company')]}"
Środki na rachunkach bankowych i gotówka składają się z gotówki będącej w posiadaniu GK NG2 S.A. oraz,"{'entities': [(88, 96, 'company')]}"
"przez Bank Handlowy w Warszawie SA. według zmiennej stawki WIBOR, powiększonej o marŜę","{'entities': [(6, 34, 'company')]}"
"Dom Maklerski Capital Partners S.A., z siedzibą w Warszawie (00-103), ul. Królewska 16,","{'entities': [(74, 86, 'street_full')]}"
"Warszawie (00-103), ul. Królewska 16 – Capital Partners S.A. posiada 31,38% akcji","{'entities': [(24, 36, 'street_full')]}"
"eCard S.A., z siedzibą w Warszawie (00-103), ul. Królewska 16 – Capital Partners S.A.","{'entities': [(49, 61, 'street_full')]}"
"Echo Investment S.A. (zwana dalej „Echo” lub „Spółka”) z siedzibą w Kielcach, przy al. Solidarności 36,","{'entities': [(83, 102, 'street_full')]}"
"spółka Magellan Pro – Equity Fund I S.A. (25-553 Kielce, al. Solidarności 36). W stosunku do akcji Echo","{'entities': [(57, 76, 'street_full')]}"
"Bielsk Podlaski ul. 3 maja 19, cesja praw z ubezp.","{'entities': [(20, 29, 'street_full')]}"
"nieruchomości Bielsk Podlaski ul. 3 maja 19, cesja","{'entities': [(34, 43, 'street_full')]}"
"60-003 Poznań, ul. Wołczyńska 37","{'entities': [(19, 32, 'street_full'), (0, 13, 'city_postal')]}"
2 ul. Wołczyńska 37,"{'entities': [(6, 19, 'street_full')]}"
Poznań ul. Wołczyńska 37,"{'entities': [(11, 24, 'street_full')]}"
"Siedzibą Spółki jest Łódź, ul. Suwalska 16.","{'entities': [(27, 42, 'street_full')]}"
"Gwiaździsta 69 F, 01-651 Warszawa","{'entities': [(18, 33, 'city_postal')]}"
Wersalska 8 ; 91-203 Łódź,"{'entities': [(0, 11, 'street_full'), (14, 25, 'city_postal')]}"
"Warszawa osiągając 100% udziału w tej spółce. Farmacol S.A. prowadzi aktualnie działania,","{'entities': [(46, 59, 'company')]}"
transakcji stan posiadania Pana Andrzeja Olszewskiego wynosi 6 290 312 akcji Farmacol S.A.,"{'entities': [(77, 90, 'company')]}"
"b) siedziba: ul Siemianowicka 98, 41-902 Bytom","{'entities': [(16, 32, 'street_full'), (34, 46, 'city_postal')]}"
"Koszty finansowania zewnętrznego, są ujmowane przez ARTMAN SA zgodnie z","{'entities': [(52, 61, 'company')]}"
Walutą funkcjonalną ARTMAN SA jest złoty polski (PLN).,"{'entities': [(20, 29, 'company')]}"
wezwania akcjonariusze – założyciele Artman SA sprzedadzą LPP SA wszystkie posiadane,"{'entities': [(58, 64, 'company')]}"
Zarządu LPP SA jest połączenie obu spółek.,"{'entities': [(8, 14, 'company')]}"
"wejdzie w życie pod warunkiem nabycia przez LPP SA w drodze wezwania, o którym mowa","{'entities': [(44, 50, 'company')]}"
EMPERIA HOLDING SA,"{'entities': [(0, 18, 'company')]}"
Spółka dominująca działa pod firmą Emperia Holding S.A. (dawna nazwa Eldorado S.A.) zarejestrowaną w Sądzie,"{'entities': [(69, 82, 'company')]}"
"Sp. z o.o., ul. Mełgiewska 7-9, 20-952 Lublin. Zmiana nazwy jest podyktowana zmianą koncepcji ww. spółki,","{'entities': [(16, 30, 'street_full'), (32, 45, 'city_postal')]}"
"Zmianie uległ również adres siedziby Spółki, z ulicy Metalurgicznej 30, 20-232 Lublin na ul. Mełgiewska 7-9,","{'entities': [(93, 107, 'street_full')]}"
"Vistula & Wólczanka Spółka Akcyjna z siedzibą w Krakowie, ul. Starowiślna 48, kod: 31035.","{'entities': [(62, 76, 'street_full')]}"
"44‐100 Gliwice, ul.Berbeckiego 6","{'entities': [(19, 32, 'street_full')]}"
"ul. Balicka 35, 30-149 Kraków","{'entities': [(4, 14, 'street_full'), (16, 29, 'city_postal')]}"
Statutu spółki ADVANCED DISTRIBUTION SOLUTIONS S.A. Z tego też względu,"{'entities': [(15, 51, 'company')]}"
Akcje ADVANCED DISTRIBUTION SOLUTIONS S.A. serii A są uprzywilejowane co do głosu,"{'entities': [(6, 42, 'company')]}"
"zabezpieczenie kapitału oraz odsetek i prowizji na nieruchomości połoŜonej w Warszawie, ul. Osowska 84","{'entities': [(92, 102, 'street_full')]}"
"16.500.000,-PLN ustanowionej na nieruchomości połoŜonej w Warszawie, ul. Osowska 84, stanowiącej","{'entities': [(73, 83, 'street_full')]}"
"Sygnity SA (""Spółka ""), z siedzibą w Warszawie, Al. Jerozolimskie 180, wpisana jest do rejestru","{'entities': [(48, 69, 'street_full')]}"
FINANSOWE GRUPY KAPITAŁOWEJ BARLINEK S.A. W I PÓŁROCZU 2008 ROKU ............. 12,"{'entities': [(28, 41, 'company')]}"
"1.2. siedziba : ul. Jana Olbrachta 94, 01-102 Warszawa","{'entities': [(20, 37, 'street_full'), (39, 54, 'city_postal')]}"
"BIOTON Spółka Akcyjna (Spółka) z siedzibą w Warszawie, ul. Starościńska 5, zarejestrowana jest pod numerem","{'entities': [(59, 73, 'street_full')]}"
"ul. Poznańska 12, Macierzysz, 05-850 Ożarów Mazowiecki","{'entities': [(30, 54, 'city_postal')]}"
"spółka Cersanit Spółka Akcyjna z siedzibą w Kielcach przy al. Solidarności 36 (Cersanit S.A., Spółka,","{'entities': [(58, 77, 'street_full')]}"
"Nazwa firmy : „CERSANIT” Spółka Akcyjna z siedzibą w Kielcach Al. Solidarności 36, jest","{'entities': [(62, 81, 'street_full')]}"
stosowaną przez CERSANIT S.A.,"{'entities': [(16, 29, 'company')]}"
PODJĘCIE UCHWAŁ PRZEZ NWZA SPÓŁKI W SPRAWIE POŁĄCZENIA SPÓŁKI CERSANIT S.A.,"{'entities': [(62, 75, 'company')]}"
W dniu 28 lutego 2008 roku w siedzibie Spółki przy Al. Solidarności 36 w Kielcach odbyło się,"{'entities': [(51, 70, 'street_full')]}"
UMOWA KREDYTU ZAWARTA POMIĘDZY CERSANIT S.A. A BANKIEM POLSKA KASA OPIEKI,"{'entities': [(31, 44, 'company')]}"
"UMOWA KREDYTOWA ZAWARTA POMIĘDZY CERSANIT S.A., OPOCZNO S.A., OPOCZNO I SP.","{'entities': [(33, 46, 'company')]}"
UMOWA WIELOCELOWEJ LINII KREDYTOWEJ ZAWARTA POMIĘDZY CERSANIT S.A. A,"{'entities': [(53, 66, 'company')]}"
ANEKS DO UMOWY KREDYTOWEJ ZAWARTY PRZEZ CERSANIT S.A. A BANKIEM POLSKA,"{'entities': [(40, 53, 'company')]}"
2) ZAWIADOMIENIE O PRZEKROCZENIU 50% GŁOSÓW NA WZA CERSANIT S.A.,"{'entities': [(51, 64, 'company')]}"
2) PODWYŻSZENIE KAPITAŁU ZAKŁADOWEGO SPÓŁKI CERSANIT S.A.,"{'entities': [(44, 57, 'company')]}"
1) UCHWAŁA NWZA W SPRAWIE POŁĄCZENIA CERSANIT S.A. ZE SPÓŁKĄ OPOCZNO S.A. I,"{'entities': [(37, 50, 'company')]}"
3) PRZYJĘCIE DO DEPOZYTU I REJESTRACJA W KDPW AKCJI SERII F CERSANIT S.A.,"{'entities': [(60, 73, 'company')]}"
"3. POK Lubliniec, ul. Zwycięstwa 2, 42-700 Lubliniec","{'entities': [(36, 52, 'city_postal')]}"
"6. POK Racibórz, ul. Batorego 5, 47-400 Racibórz","{'entities': [(33, 48, 'city_postal')]}"
"7. POK Tarnów, ul. Wałowa 16, 33-100 Tarnów","{'entities': [(30, 43, 'city_postal')]}"
"8. POK Gliwice, ul. Zwycięstwa 14, 44-100 Gliwice","{'entities': [(35, 49, 'city_postal')]}"
"9. POK Pszczyna, ul. Bednarska 5, 43-200 Pszczyna","{'entities': [(34, 49, 'city_postal')]}"
z zakupem zorganizowanej części przedsiębiorstwa od STORMM S.A. (dawniej ElektromontaŜ Warszawa S.A.) przez spółkę w Grupie ElektromontaŜ,"{'entities': [(52, 63, 'company')]}"
przedsiębiorstwa od STORMM S.A. (dawniej ElektromontaŜ Warszawa S.A.). Przeniesienie majątku nastąpiło w dniu 1,"{'entities': [(20, 31, 'company')]}"
Akcje spółek notowanych na giełdzie (STORMM S.A.),"{'entities': [(37, 48, 'company')]}"
"ElektromontaŜ Warszawa S.A. (obecna nazwa spółki: STORMM S.A.) w transakcji pakietowej sesyjnej, w cenie","{'entities': [(50, 61, 'company')]}"
**W wyniku przeniesienia udziałów Mostostal Export Dom Sp. z o. o. na rzecz STORMM S.A. z siedzibą w Warszawie. W dniu 30 października 2007 roku,"{'entities': [(76, 87, 'company')]}"
dokonano połączenia spółek STORMM S.A. (spółka przejmująca) z MOSTOSTAL-EXPORT-DOM Sp. z o.o. (spółka przejmowana).,"{'entities': [(27, 38, 'company')]}"
"Pro – Equity Fund I S.A. (25-553 Kielce, al. Solidarności 36). W stosunku do akcji Echo zastosowana jest metoda praw","{'entities': [(41, 60, 'street_full')]}"
"Polskiego 29, 34-100 Wadowice.","{'entities': [(14, 29, 'city_postal')]}"
"Siedziba : Wadowice, ul. Wojska Polskiego 29","{'entities': [(21, 44, 'street_full')]}"
"KGHM Polska Miedź S.A. (Jednostka Dominująca) z siedzibą w Lubinie przy ul. M. Skłodowskiej-Curie 48, jest spółką akcyjną","{'entities': [(76, 100, 'street_full')]}"
"Szame sp. z o.o. z siedzibą w Biłgoraju, ul. Krzeszowska 62, powstała w oparciu o Akt","{'entities': [(41, 59, 'street_full')]}"
"Opatówek, poczta 62-860 Opatówek.","{'entities': [(17, 32, 'city_postal')]}"
Zgodnie z uchwałą Walnego Zgromadzenia FON S.A. z dnia 30 czerwca 2005 roku począwszy od,"{'entities': [(39, 47, 'company')]}"
"Emilii Plater 28, 00-688 Warszawa.","{'entities': [(0, 16, 'street_full'), (18, 33, 'city_postal')]}"
63-000 Środa Wielkopolska,"{'entities': [(0, 25, 'city_postal')]}"
"a ich sprawozdania nie podlegają konsolidacji, gdyŜ BEST SA, kierując się zasadą istotności, nie konsoliduje","{'entities': [(52, 59, 'company')]}"
grupy kapitałowej BEST SA wobec czego niniejsze sprawozdanie finansowe jest sporządzone przy załoŜeniu,"{'entities': [(18, 25, 'company')]}"
Na dzień 30 czerwca 2008 Zarząd BEST SA funkcjonował w składzie:,"{'entities': [(32, 39, 'company')]}"
Na dzień 30 czerwca 2008 skład Rady Nadzorczej BEST SA był następujący:,"{'entities': [(47, 54, 'company')]}"
ustawy o podatku dochodowym od osób prawnych wobec czego BEST SA i BEST TFI S.A. rozliczają się,"{'entities': [(57, 64, 'company')]}"
1. Przedmiot działalności Spółek wchodzących w skład grupy kapitałowej BEST SA,"{'entities': [(71, 78, 'company')]}"
W BEST SA przestrzegane są wszystkie zasady ładu korporacyjnego zawarte w dokumencie „Dobre praktyki,"{'entities': [(2, 9, 'company')]}"
"Siedziba Spółki dominującej mieści się we Wrocławiu, ul. Strzegomska 2-4, 53-611 Wrocław, Polska. Miejscem","{'entities': [(57, 72, 'street_full'), (74, 88, 'city_postal')]}"
"Al. Armii Ludowej 26, zarejestrowana w Rejestrze Przedsiębiorców prowadzonym przez Sąd RejoDodatkowe informacje i objaśnienia do skonsolidowanego sprawozdania finansowego Grupy Kapitałowej NFI Progres SA","{'entities': [(0, 20, 'street_full')]}"
"Siedziba Emitenta: 22-400 Zamość, ul. Okrzei 32","{'entities': [(38, 47, 'street_full'), (19, 32, 'city_postal')]}"
jednostkowego sprawozdania finansowego spółki AMBRA S.A. za okres od 1 lipca 2008 r. do 31,"{'entities': [(46, 56, 'company')]}"
SKRÓCO7E JED7OSTKOWE SPRAWOZDA7IE FI7A7SOWE SPÓŁKI AMBRA S.A. ZA,"{'entities': [(51, 61, 'company')]}"
W dniu 6 września 2001 r. Spółka AMBRA S.A. została zarejestrowana w Sądzie Rejonowym w,"{'entities': [(33, 43, 'company')]}"
Akcje AMBRA S.A. są notowane na Giełdzie Papierów Wartościowych w sektorze spożywczym.,"{'entities': [(6, 16, 'company')]}"
Czas trwania jednostki dominującej AMBRA S.A. oraz jednostek Grupy Kapitałowej AMBRA jest,"{'entities': [(35, 45, 'company')]}"
"31 lipca 2008 r. zostało zarejestrowane połączenie spółek trzech spółek zależnych AMBRA S.A., to jest","{'entities': [(82, 92, 'company')]}"
Sp. z o.o. zostały objęte przez spółkę AMBRA S.A.,"{'entities': [(39, 49, 'company')]}"
spółki Centrum Wina – Dystrybucja Sp. z o.o. – spółkę AMBRA S.A. W wyniku podwyższenia kapitału,"{'entities': [(54, 64, 'company')]}"
zakładowego spółki Centrum Wina – Dystrybucja Sp. z o.o. spółka AMBRA S.A. posiada 6 400,"{'entities': [(64, 74, 'company')]}"
wyniku podwyższenia kapitału zakładowego spółki S.C. ZAREA s.a. spółka AMBRA S.A. posiada,"{'entities': [(71, 81, 'company')]}"
zostało rozliczone w księgach AMBRA S.A. na dzień 30 czerwca 2008 r.,"{'entities': [(30, 40, 'company')]}"
"prawo do 5,11% głosów na Walnym Zgromadzeniu AMBRA S.A. oraz stanowiło 5,11% udziału w jej","{'entities': [(45, 55, 'company')]}"
"kapitale zakładowym. Po transakcji zbycia inwestor ten posiada 1 217 613 akcji AMBRA S.A., co","{'entities': [(79, 89, 'company')]}"
"613 głosów na Walnym Zgromadzeniu AMBRA S.A., co stanowi 4,83% ogólnej liczby głosów na","{'entities': [(34, 44, 'company')]}"
Członkowie Zarządu AMBRA S.A.,"{'entities': [(19, 29, 'company')]}"
Na dzień 31 grudnia 2008 r. w skład Zarządu Jednostki Dominującej AMBRA S.A. wchodzili:,"{'entities': [(66, 76, 'company')]}"
Umowa zawarta pomiędzy spółką S.C. Zarea a AMBRA S.A. i BRD – Groupe Societe,"{'entities': [(43, 53, 'company')]}"
Na dzień 31 grudnia 2008 r. w skład Zarządu AMBRA S.A. wchodzili:,"{'entities': [(44, 54, 'company')]}"
Zarządowi AMBRA S.A. nie są znane umowy mogące spowodować wymienione wyżej zmiany.,"{'entities': [(10, 20, 'company')]}"
sprawozdaniem finansowym przedstawionym przez tę spółkę spółce AMBRA S.A. było sprawozdanie,"{'entities': [(63, 73, 'company')]}"
a) nazwa: ACTION Spółka Akcyjna,"{'entities': [(10, 31, 'company')]}"
"b) siedziba: ul. Jana Kazimierza 46/54, 01-248 Warszawa","{'entities': [(17, 38, 'street_full'), (40, 55, 'city_postal')]}"
"Hydrobudowa Polska S.A. z siedzibą w Wysogotowie, ul. Skórzewska 35; 62-081 Przeźmierowo jest","{'entities': [(54, 67, 'street_full')]}"
Spółki na Wysogotowo koło Poznania ul. Skórzewska 35. W dniu 20.11.2006 roku Sąd Rejonowy w Toruniu,"{'entities': [(39, 52, 'street_full')]}"
"Spółka Dominująca Grupy Kapitałowej, PBG SA z siedzibą w Wysogotowie k/Poznania, ul. Skórzewska 35,","{'entities': [(37, 43, 'company'), (85, 98, 'street_full')]}"
udział Spółki Dominującej PBG SA w danej Spółce zaleŜnej * procentowy udział tej Spółki zaleŜnej w jej Spółce zaleŜnej).,"{'entities': [(26, 32, 'company')]}"
1. Aprivia SA jest podmiotem zaleŜnym Spółki PBG SA od dnia 18 marca 2008 roku - PBG SA posiada 100% udziału w,"{'entities': [(45, 51, 'company'), (81, 87, 'company')]}"
zaleŜnym Spółki PBG SA – Spółka PBG SA posiadała 70% udziału w kapitale Spółki Betpol SA,"{'entities': [(16, 22, 'company'), (32, 38, 'company')]}"
"podmiotem bezpośrednio zaleŜnym Spółki PBG SA – Spółka PBG SA posiadała 87,40% udziału w kapitale Spółki","{'entities': [(39, 45, 'company'), (55, 61, 'company')]}"
"5. Avatia Sp. z o.o jest podmiotem zaleŜnym Spółki PBG SA od dnia 15 lutego 2008 roku – Spółka PBG SA posiada 99,80%","{'entities': [(51, 57, 'company'), (95, 101, 'company')]}"
6. Brokam Sp. z o.o jest podmiotem zaleŜnym Spółki PBG SA od dnia 16 sierpnia 2007 roku – Spółka PBG SA posiada 100%,"{'entities': [(51, 57, 'company'), (97, 103, 'company')]}"
7. Excan Oil and Gas Engineering Ltd jest podmiotem zaleŜnym Spółki PBG SA od dnia 05 kwietnia 2007 roku – Spółka,"{'entities': [(68, 74, 'company')]}"
8. GasOil Engineering a.s. jest podmiotem zaleŜnym Spółki PBG SA od dnia 12 kwietnia 2007 roku – Spółka PBG SA,"{'entities': [(58, 64, 'company'), (104, 110, 'company')]}"
Hydrobudowa Śląsk SA – połączenie miało miejsce dnia 27 sierpnia 2007 roku. Na dzień 30 czerwca 2009 roku PBG SA,"{'entities': [(106, 112, 'company')]}"
Na dzień 30 czerwca 2008 roku Spółka Hydrobudowa 9 SA była podmiotem bezpośrednio zaleŜnym Spółki PBG SA –,"{'entities': [(98, 104, 'company')]}"
"13. Infra SA jest podmiotem zaleŜnym Spółki PBG SA od dnia 19 maja 2005 roku - PBG SA posiada 99,95% udziału w","{'entities': [(44, 50, 'company'), (79, 85, 'company')]}"
16. KWG SA jest podmiotem zaleŜnym Spółki PBG SA od dnia 30 maja 2006 roku – PBG SA posiada 100% udziału w,"{'entities': [(42, 48, 'company'), (77, 83, 'company')]}"
17. Metorex Sp. z o.o. jest podmiotem zaleŜnym Spółki PBG SA od dnia 13 stycznia 2005 roku – Spółka PBG SA posiada,"{'entities': [(54, 60, 'company'), (100, 106, 'company')]}"
"18. PBG Export Sp. z o.o. jest podmiotem zaleŜnym Spółki PBG SA od dnia 02 kwietnia 2009 roku. PBG SA posiada 99,95%","{'entities': [(57, 63, 'company'), (95, 101, 'company')]}"
PBG SA od dnia 02 kwietnia 2009 roku – Spółka PBG SA posiada 100% udziału w kapitale Spółki PBG Technologia Sp. z,"{'entities': [(0, 6, 'company'), (46, 52, 'company')]}"
"20. PBG Dom Sp. z o.o. jest podmiotem zaleŜnym Spółki PBG SA od dnia 12 kwietnia 2007 roku - PBG SA posiada 100,00%","{'entities': [(54, 60, 'company'), (93, 99, 'company')]}"
26. Wschodni Invest Sp. z o.o. jest podmiotem zaleŜnym Spółki PBG SA od dnia 19 czerwca 2009 roku – Spółka PBG SA,"{'entities': [(62, 68, 'company'), (107, 113, 'company')]}"
"z o.o., Zarząd PBG SA podjął decyzję o ujęciu nabycia Spółek w skonsolidowanym sprawozdaniu Grupy","{'entities': [(15, 21, 'company')]}"
W dniu 04 czerwca 2009 roku Zarząd PBG SA otrzymał złoŜoną przez Pana Jacka KrzyŜaniaka rezygnację,"{'entities': [(35, 41, 'company')]}"
W wyniku powyŜszej umowy PBG SA nabyła wszystkie 16.100 udziałów o wartości nominalnej po,"{'entities': [(25, 31, 'company')]}"
